"dataset","method","train_knn_mean","train_knn_se","test_knn_mean","test_knn_se","train_clf_mean","train_clf_se","test_clf_mean","test_clf_se","wall_ms_mean","w_sparsity_mean","h_sparsity_mean","knn_gap","clf_gap"
"MNIST","NMF (unsup)",0.949,0.004,0.947,0.005,0.84,0.001,0.849,0.002,0,0,0,0.003,-0.009
"MNIST","Anneal+FreeV",0.934,0.005,0.93,0.006,0.808,0.003,0.816,0.005,608.05,0.889,0.455,0.004,-0.008
"MNIST","ConsH+FreeV",0.93,0.006,0.927,0.006,0.808,0.003,0.816,0.005,607.213,0.888,0.472,0.003,-0.007
"MNIST","ConsistentH",0.93,0.006,0.927,0.006,0.598,0.005,0.608,0.004,624.717,0.888,0.472,0.003,-0.011
"MNIST","DualH+FreeV",0.905,0.027,0.891,0.036,0.807,0.004,0.815,0.005,662.773,0.89,0.471,0.014,-0.008
"MNIST","Anneal",0.982,0.005,0.874,0.018,0.954,0.016,0.549,0.021,625.89,0.875,0.499,0.108,0.405
"MNIST","Baseline",0.998,0.001,0.785,0.024,1,0,0.571,0.013,625.533,0.856,0.489,0.213,0.429
"MNIST","VReg",0.998,0.001,0.783,0.024,1,0,0.572,0.012,626.583,0.856,0.489,0.215,0.428
"MNIST","DualH",0.602,0.012,0.584,0.017,0.681,0.005,0.678,0.002,680.483,0.815,0.558,0.017,0.003
"Fashion-MNIST","NMF (unsup)",0.829,0.004,0.82,0.004,0.779,0,0.768,0.001,0,0,0,0.008,0.01
"Fashion-MNIST","DualH+FreeV",0.813,0.002,0.757,0.02,0.76,0.004,0.743,0.005,654.22,0.851,0.417,0.057,0.018
"Fashion-MNIST","ConsH+FreeV",0.809,0.001,0.748,0.026,0.763,0.005,0.747,0.01,598.397,0.837,0.425,0.062,0.016
"Fashion-MNIST","ConsistentH",0.809,0.001,0.748,0.026,0.66,0.01,0.639,0.015,616.17,0.837,0.425,0.062,0.021
"Fashion-MNIST","Anneal",0.925,0.004,0.745,0.017,0.916,0.007,0.601,0.004,617.3,0.828,0.45,0.18,0.315
"Fashion-MNIST","Anneal+FreeV",0.826,0.007,0.725,0.032,0.77,0.006,0.733,0.008,599.533,0.837,0.414,0.101,0.037
"Fashion-MNIST","Baseline",0.991,0.003,0.682,0.018,1,0,0.577,0.01,617.543,0.81,0.448,0.31,0.424
"Fashion-MNIST","VReg",0.992,0.003,0.681,0.017,1,0,0.576,0.01,617.653,0.81,0.448,0.311,0.424
"Fashion-MNIST","DualH",0.682,0.017,0.536,0.055,0.716,0.01,0.629,0.006,671.877,0.781,0.517,0.146,0.087
